repo_full_name,adoption_date,status,created_at,has_post_window,has_pre_window
quantopian/zipline,2020-08-17 00:00:00+00:00,ok,2012-10-19 15:50:29+00:00,True,True
espanso/espanso,2021-10-02 00:00:00+00:00,ok,2019-08-30 07:16:58+00:00,True,True
mikepenz/AboutLibraries,2020-01-18 00:00:00+00:00,ok,2014-04-22 10:01:06+00:00,True,True
highcharts/highcharts,2022-09-12 00:00:00+00:00,ok,2010-06-11 12:23:53+00:00,True,True
Lambada10/SongSync,2024-07-15 00:00:00+00:00,ok,2023-05-31 07:39:12+00:00,True,True
gerardog/gsudo,2022-04-17 00:00:00+00:00,ok,2019-11-07 14:10:34+00:00,True,True
nickel-lang/nickel,2021-01-15 00:00:00+00:00,ok,2019-01-08 21:43:11+00:00,True,True
docker/compose,2020-04-30 00:00:00+00:00,ok,2013-12-09 11:40:58+00:00,True,True
dvajs/dva,2019-11-01 00:00:00+00:00,ok,2016-06-24 09:06:16+00:00,True,True
MiczFlor/RPi-Jukebox-RFID,2020-01-18 00:00:00+00:00,ok,2017-02-02 11:41:41+00:00,True,True
sqldelight/sqldelight,2020-01-14 00:00:00+00:00,ok,2015-10-21 13:21:18+00:00,True,True
huggingface/sentence-transformers,2023-11-07 00:00:00+00:00,ok,2019-07-24 10:53:51+00:00,True,True
ryanb/ruby-warrior,2024-03-27 00:00:00+00:00,ok,2008-07-04 21:59:44+00:00,True,True
LuckyPennySoftware/MediatR,2020-01-30 00:00:00+00:00,ok,2014-03-03 15:01:22+00:00,True,True
simshaun/recurr,2021-08-10 00:00:00+00:00,ok,2013-06-13 00:19:10+00:00,True,True
ullmark/hashids.net,2021-04-21 00:00:00+00:00,ok,2012-10-15 07:58:34+00:00,True,True
3b1b/manim,2021-01-24 00:00:00+00:00,ok,2015-03-22 18:50:58+00:00,True,True
commons-app/apps-android-commons,2020-12-21 00:00:00+00:00,ok,2015-09-07 05:23:27+00:00,True,True
Bartuzen/qBitController,2022-12-04 00:00:00+00:00,ok,2021-08-29 17:59:12+00:00,True,True
Azure-Samples/cognitive-services-speech-sdk,2022-10-24 00:00:00+00:00,ok,2018-04-26 11:28:25+00:00,True,True
ageitgey/face_recognition,2020-02-20 00:00:00+00:00,ok,2017-03-03 21:52:39+00:00,True,True
microsoft/WhatTheHack,2021-08-09 00:00:00+00:00,ok,2018-09-17 10:13:08+00:00,True,True
microsoft/VFSForGit,2021-04-27 00:00:00+00:00,ok,2017-01-25 21:10:29+00:00,True,True
apache/superset,2020-04-14 00:00:00+00:00,ok,2015-07-21 18:55:34+00:00,True,True
javve/list.js,2025-04-25 00:00:00+00:00,ok,2011-01-30 12:29:56+00:00,True,True
tock/tock,2020-05-04 00:00:00+00:00,ok,2015-05-28 09:26:47+00:00,True,True
ceph/ceph,2020-11-12 00:00:00+00:00,ok,2011-09-01 21:41:26+00:00,True,True
Homebrew/homebrew-cask,2019-08-12 00:00:00+00:00,ok,2012-03-05 02:05:17+00:00,True,True
robotframework/robotframework,2020-01-17 00:00:00+00:00,ok,2014-06-27 11:10:38+00:00,True,True
conventional-changelog/conventional-changelog,2019-11-28 00:00:00+00:00,ok,2014-01-04 21:18:33+00:00,True,True
rest-assured/rest-assured,2021-05-21 00:00:00+00:00,ok,2010-10-21 08:35:43+00:00,True,True
0xAX/linux-insides,2025-08-24 00:00:00+00:00,ok,2015-01-03 18:44:57+00:00,True,True
bytedeco/javacpp,2021-06-16 00:00:00+00:00,ok,2014-04-21 12:47:21+00:00,True,True
alibaba/COLA,2022-07-13 00:00:00+00:00,ok,2018-02-06 13:46:27+00:00,True,True
statsd/statsd,2023-05-10 00:00:00+00:00,ok,2010-12-30 00:09:50+00:00,True,True
cantino/mcfly,2021-03-27 00:00:00+00:00,ok,2018-07-15 21:37:37+00:00,True,True
apache/logging-log4j2,2020-08-20 00:00:00+00:00,ok,2013-06-12 07:00:19+00:00,True,True
201206030/novel-plus,2025-03-20 00:00:00+00:00,ok,2020-05-02 07:15:43+00:00,True,True
apache/zookeeper,2021-01-13 00:00:00+00:00,ok,2009-03-27 15:41:56+00:00,True,True
remix-run/history,2021-08-13 00:00:00+00:00,ok,2015-07-18 23:31:47+00:00,True,True
getpelican/pelican,2020-05-09 00:00:00+00:00,ok,2010-10-16 18:57:40+00:00,True,True
laravel/horizon,2020-02-21 00:00:00+00:00,ok,2017-07-14 15:26:27+00:00,True,True
