treated_repo,control_repo,language,adoption_date,adoption_month,treated_created_at,control_created_at,metadata_distance,treated_pre_commits,control_pre_commits,treated_age_at_index_days,control_age_at_index_days,diff_log_pre_commits,diff_age_days,refined_distance
roslynpad/roslynpad,x360ce/x360ce,C#,2019-09-06 00:00:00+00:00,2019-09-01,2015-04-01 17:42:15,2015-04-19 22:06:26,0.2811454948874992,106,85,1613,1595,0.21848153820839844,18,0.9526346784559107
go-task/task,mickael-kerjean/filestash,Go,2019-08-16 00:00:00+00:00,2019-08-01,2017-02-27 00:46:04,2017-06-13 05:34:14,0.2713522840058502,265,305,884,778,0.14008879317068157,106,0.9624419293488063
digininja/DVWA,top-think/think,PHP,2020-08-17 00:00:00+00:00,2020-08-01,2013-05-01 13:03:10,2013-02-20 03:14:27,1.173885656239666,30,37,2648,2718,0.2035989552412394,70,1.0090630887150824
simplcommerce/SimplCommerce,Unity-Technologies/NavMeshComponents,C#,2021-10-22 00:00:00+00:00,2021-10-01,2016-05-21 13:43:01,2016-09-30 13:32:31,0.7148106521431011,8,9,1958,1826,0.10536051565782634,132,1.03703110545779
RT-Thread/rt-thread,Mbed-TLS/mbedtls,C,2020-12-04 00:00:00+00:00,2020-12-01,2013-01-02 14:49:21,2012-11-14 13:13:13,1.2232843648504663,1426,1791,2889,2938,0.22775797605803927,49,1.0432151399570866
Lambada10/SongSync,aleksey-saenko/MusicRecognizer,Kotlin,2024-07-15 00:00:00+00:00,2024-07-01,2023-05-31 07:39:12,2023-02-01 12:09:49,0.29271401739253067,171,147,396,515,0.15028220304933804,119,1.061744971994308
react-grid-layout/react-grid-layout,t4t5/sweetalert,TypeScript,2019-10-09 00:00:00+00:00,2019-10-01,2014-12-27 14:28:40,2014-09-30 11:12:48,0.027622544407655294,21,17,1738,1826,0.20067069546215155,88,1.0666785026069945
crater-invoice-inc/crater,solstice23/argon-theme,PHP,2021-03-22 00:00:00+00:00,2021-03-01,2019-11-20 07:09:02,2019-08-24 05:46:13,0.949673369952171,279,227,466,554,0.2054439742148082,88,1.0835136371285061
commons-app/apps-android-commons,SimpleMobileTools/Simple-Music-Player,Kotlin,2020-12-21 00:00:00+00:00,2020-12-01,2015-09-07 05:23:27,2016-01-10 12:21:23,1.3856061734769585,352,412,1911,1786,0.15697953602773662,125,1.112956666838228
google/tarpc,weld-project/weld,Rust,2019-12-06 00:00:00+00:00,2019-12-01,2016-02-11 01:07:24,2016-06-13 05:00:24,0.301574192450973,95,76,1388,1265,0.22054276961415198,123,1.2892097327699612
